tot CaCO3Powder mass (g),>212-212 µm CaCO3Powder mass (g),212-150 µm CaCO3Powder mass (g),150-125 µm CaCO3Powder mass (g),125-63 µm CaCO3Powder mass (g),63-<63 µm CaCO3Powder mass (g),tot CaCO3Pellet _mass_(g) ,<-710 µmPellet _mass_(g) ,710-600 µmPellet _mass_(g) ,600-500 µmPellet _mass_(g) ,500-425 µmPellet _mass_(g) ,425-355 µmPellet _mass_(g) ,355-300 µmPellet _mass_(g) ,300-250 µmPellet _mass_(g) ,250-212 µmPellet _mass_(g) ,212-150 µmPellet _mass_(g) ,150-63 µmPellet _mass_(g) ,63-> µmPellet _mass_(g) ,tot HBr_CaC03_mass_(g) ,<-710 µmHBr_CaC03_mass_(g) ,710-600 µmHBr_CaC03_mass_(g) ,600-500 µmHBr_CaC03_mass_(g) ,500-425 µmHBr_CaC03_mass_(g) ,425-355 µmHBr_CaC03_mass_(g) ,355-300 µmHBr_CaC03_mass_(g) ,300-250 µmHBr_CaC03_mass_(g) ,250-212 µmHBr_CaC03_mass_(g) ,212-150 µmHBr_CaC03_mass_(g) ,150-63 µmHBr_CaC03_mass_(g) ,63-> µmHBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner CO2 in(%vol),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calcinator CO2 out(%),Calcinator CO out(ppm),Calcinator CH4 out(ppm),Calcinator O2 out(%),Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator top temp ( C),Carbonator outlet CO2 (%vol)
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,841.52,12,3135.5,0.4,0,50,50,695.565,20.1900075,3320.43755,1666.3935,4.7675331,525.965,572.535,6382.5,2.5,0,100,566.215,-2.56
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,794.67,12,3596,0.4,0,50,50,684.55,19.104848,3322.0687,1654.1085,5.2301933,528.98,572.89,6284.5,2.5,0,100,566.85,-2.56
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,745.34,12,3461.5,0.4,0,50,50,691.83,15.631344,2998.5704,1321.3009,5.5113281,535.61,574.03,6631,2.5,0,100,568.57,-2.56
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,795.12,12,3357.5,0.4,0,50,50,700.83,11.645289,2693.65125,817.02523,5.438084,539.54,575.13,6902.5,2.5,0,100,569.9,-2.57
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,816.06,12,3292,0.4,0,50,50,705.17,12.512124,2911.7086,756.00641,5.2610391,539.855,576.44,6980,2.5,0,100,570.5,-2.58
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,824.63,12,3224,0.4,0,50,50,707.715,14.188941,3142.152,906.2872,5.2243581,542.58,577.495,7092.5,2.5,0,100,571.82,-2.57
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,829.24,12,3923,0.4,0,50,50,677.065,16.0192125,3206.61655,1045.5792,5.22527005,502.105,565.1,9189,2.5,0,100,562.96,-2.57
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,787.74,12,4357,0.4,0,50,50,675.535,14.399201,2610.374,889.51792,15.693481,508.76,554.72,6259,2.5,0,100,549.865,-2.59
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,747.02,12,3421.5,0.4,0,50,50,691.57,9.2438317,1676.08385,865.26436,9.87489075,564.75,585.87,5569,2.5,0,100,577.195,-2.61
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,787.4,12,3301,0.4,0,50,50,688.37,7.878707,1562.5246,835.19154,6.5886967,558.155,585.035,6611.5,2.9,0,100,577.065,-2.45
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,803.01,12,3347.5,0.4,0,50,50,683.005,9.4424614,2003.5856,789.74808,5.9259747,552.03,582.985,6857.5,2.9,0,100,576.19,-2.53
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,806.18,12,3735.5,0.4,0,50,50,653.62,10.3299945,2369.043,827.340625,5.9591552,547.65,582.4,6933,2.9,0,100,576.535,-2.58
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,828.13,12,4190,0.4,0,50,50,656.475,10.593874,2320.4879,842.75112,6.0448352,507.1,574.345,8906.5,2.9,0,100,572.355,-2.6
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,824.12,12,4868,0.4,0,50,50,670.625,9.89462815,1663.73465,672.299365,19.344649,383.805,518.06,10054,2.9,0,100,521.02,-2.59
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,792.5,12,4742.5,0.4,0,50,50,662.11,6.6703843,663.32544,316.29026,23.169122,416.115,522.065,8508,2.9,0,100,522.335,-2.74
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,804.77,12,4081.5,0.4,0,50,50,643.565,4.59892,199.63325,115.02172,23.559682,585.73,593.86,6041,2.9,0,100,585.64,-2.74
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,4393,0,0,0,0,560.9210185,2235.955648,1513.551204,52.06518519,4.881111111,5.69462963,14.23657407,838.37,12,4010,0.4,0,50,50,651.515,7.6895402,563.360205,330.910555,12.480971,558.095,589.735,6469.5,2.9,0,100,583.655,-2.41
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,5794,0,0,0,0,739.807963,2949.038704,1996.247593,68.66962963,6.437777778,7.510740741,18.77685185,850.89,12,3941,0.4,0,50,50,666.69,13.981532,1347.1439,703.48352,7.8189045,562.025,592.755,6778.5,2.9,0,100,585.81,-2.56
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,5794,0,0,0,0,739.807963,2949.038704,1996.247593,68.66962963,6.437777778,7.510740741,18.77685185,856.88,20,3935.5,0.4,0,100,0,668.155,18.110501,1944.674,951.80436,6.0085258,562.53,594.035,6865,2.9,0,100,587.005,-2.57
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,5794,0,0,0,0,739.807963,2949.038704,1996.247593,68.66962963,6.437777778,7.510740741,18.77685185,859.43,20,4092.5,0.4,0,100,0,656.83,22.2613555,2554.31735,1322.25465,5.52034875,564.13,594.685,6695.5,2.9,0,100,588.2,-2.55
