Duration,HBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calciner CO2 out(%),Calciner O2 out(%),Calciner H2O out(%),Calciner CO out(ppm),Calciner CH4 out(ppm),Run status,Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator outlet CO2 (%vol),Carbonator top temp ( C),Rank
96.12,8406,864.83,16,2993.5,0.32,100,0,758.565,35.5685145,4.0053724,31.1342775,6138.8984,3140.65575,0,580.135,592.895,6366.5,2.5,0,100,-0.3094,587.535,6
97.12,8406,865.96,16,2927,0.32,100,0,766.575,35.941865,3.3187741,32.532353,6568.6943,3372.6852,0,583.145,594.235,6388.5,2.5,0,100,-0.3094,588.765,6
98.12,8406,866.65,16,2928.5,0.32,100,0,776.19,36.205095,3.0595527,33.260303,6863.8414,3108.7358,0,582.295,594.81,6308.5,2.5,0,100,-0.2975,589.475,6
99.12,8406,867.76,16,2925,0.32,100,0,775.765,36.686274,3.3384943,33.77418,6878.40645,2739.1532,0,583.89,595.355,6170,2.5,0,100,-0.2975,590.145,6
100.13,8406,869.02,16,2850,0.32,100,0,783.615,37.046161,3.2565661,33.822629,6597.4208,3087.0244,0,587.06,597.32,6159.5,2.5,0,100,-0.2499,591.41,6
101.13,8406,869.5,16,2853.5,0.32,100,0,787.16,37.0268925,3.02790755,33.559753,6378.38535,3084.663,0,586.425,597.35,6034,2.5,0,100,-0.2499,591.85,6
102.13,8406,870.6,16,2831,0.32,100,0,786.345,37.043196,2.5553656,33.565599,6508.8144,2394.8976,0,587.61,598.35,5909,2.5,0,100,-0.2499,592.615,6
103.13,8406,870.27,16,2818,0.32,100,0,790.01,36.66807,2.5129513,33.783458,6712.2652,2696.7027,0,589.305,599.335,5818.5,2.5,0,100,-0.238,593.105,6
104.13,8406,871.09,16,2788,0.32,100,0,798.605,36.4418025,2.71037055,33.5037795,6824.9284,3363.96855,0,590.92,600.54,5749,2.5,0,100,-0.2261,594.23,6
105.13,8406,871.23,16,2788.5,0.32,100,0,794.185,36.404607,2.2554253,33.199126,6694.79,2829.2846,0,592.325,601.125,5635,2.5,0,100,-0.2142,594.715,6
106.13,8406,871.82,16,2767.5,0.32,100,0,797.56,36.172326,2.371122,33.23544,6680.8917,2708.7311,0,596.29,602.925,5575,2.5,0,100,-0.2142,595.9,6
107.13,8406,871.82,16,2781.5,0.32,100,0,805.08,35.735176,2.45779095,33.0756535,6667.30215,3006.88165,0,596.265,603.28,5397,2.5,0,100,-0.2023,596.555,6
108.14,8406,873.01,16,2790.5,0.32,100,0,803.64,35.498684,2.371122,33.036567,6547.3773,2953.7748,0,599.71,604.325,5292.5,2.5,0,100,-0.1904,597.595,6
109.14,8406,873.89,16,2741.5,0.32,100,0,811.88,35.4940015,2.46190045,33.235586,6371.4184,2813.1848,0,605.005,606.975,5264.5,2.5,0,100,-0.1666,599.725,6
110.14,8406,875.13,16,2719.5,0.32,100,0,817.995,35.453458,2.3368281,33.338361,6227.9291,2559.6565,0,606.09,607.825,5227,2.5,0,100,-0.1666,600.42,6
111.14,8406,876.46,16,2717,0.32,100,0,814.87,35.391653,2.4133355,33.391937,6147.1907,2503.5138,0,611.055,609.21,5079.5,2.5,0,100,-0.1547,601.775,6
112.14,8406,878.81,16,2695.5,0.32,100,0,820.525,34.9682125,2.41061795,33.2385935,5999.12155,2744.4917,0,615.615,610.895,5016.5,2.5,0,100,-0.1309,603.34,6
113.14,8406,880.77,16,2688.5,0.32,100,0,820.505,34.033978,2.329059,33.129508,5860.7733,2865.7454,0,621.235,612.115,4926,2.5,0,100,-0.119,604.725,6
114.14,9774,886.54,16,2674,0.32,100,0,819.25,33.0690645,2.2050616,33.1795945,5748.43865,2282.5721,0,626.44,614.365,4857,2.5,0,100,-0.1071,606.61,5
115.14,9774,881.33,16,2939.5,0.32,100,0,807.245,31.960718,1.929938,33.267812,5590.8515,2511.1294,0,625.565,615.185,4513.5,2.5,0,100,-0.119,606.965,5
116.15,9774,815.99,16,3113.5,0.32,100,0,803.51,29.422837,2.1080237,33.402931,5544.6516,2941.9089,0,631.21,619.435,4785.5,2.5,0,100,-0.1071,611.16,5
117.15,9774,856.38,16,2938,0.32,100,0,819.235,24.423795,2.64730975,33.721036,5404.5779,2916.6247,0,620.945,620.785,5278,2.5,0,100,-0.0238,613.17,4
118.15,9774,867.96,16,2843.5,0.32,100,0,823.47,23.98431,2.6260691,33.796811,5452.3593,2778.1896,0,616.245,619.635,5412.5,2.5,0,100,-0.0714,612.35,4
119.15,9774,872.32,16,2764,0.32,100,0,829.7,27.7927695,2.53693215,33.685585,5841.7296,3170.2378,0,615.325,619.69,5545.5,2.5,0,100,-0.0595,612.875,5
120.15,9774,874.78,16,2749,0.32,100,0,830.565,30.013521,2.5129513,33.553565,6048.7549,3394.4517,0,614.285,619.075,5487,2.5,0,100,-0.0714,612.755,5
121.15,9774,879.33,16,2717.5,0.32,100,0,839.565,30.681584,2.371122,33.471079,6019.3023,3348.2701,0,614.37,619.17,5443,2.5,0,100,-0.0714,612.73,5
122.15,9774,883.91,16,2724,0.32,100,0,831.705,30.998792,2.7834372,33.2235545,5797.5398,3004.66645,0,615.005,619.27,5282.5,2.5,0,100,-0.0714,612.995,5
